"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"154";16;0,106;0,136;6,37;2,548;0,077667431;5;0,2734;0,1227;0,006716;0,0328625;NA;NA;NA;NA;NA;NA
"155";16;0,106;0,136;6,37;3,185;0,057613955;3;0,1182;0,0501;0,004223;0,024025;NA;NA;NA;NA;NA;NA
"156";16;0,106;0,136;6,37;3,822;0,047746371;2;0,0755;0,0351;0,00244;0,02825;NA;NA;NA;NA;NA;NA
"157";16;0,106;0,136;6,37;4,459;0,041698498;1;0,0555;0,0255;0,002305;0,025225;NA;NA;NA;NA;NA;NA
"158";16;0,106;0,136;6,37;5,096;0,037560479;0,75;0,0251;0,0107;0,001226;0,0195125;NA;NA;NA;NA;NA;NA
"159";16;0,106;0,136;6,37;5,733;0,014642221;0,235;0,0197;0,0107;0,000963;0,02065;NA;NA;NA;NA;NA;NA
"160";16;0,106;0,136;6,37;6,37;0,009485612;0,05;0,0016;8e-04;0,00016;0,01118;NA;NA;NA;NA;NA;NA
"161";17;0,131;0,165;8,33;0,833;0,139737713;15,5;0,6539;0,0649;0,017696;0,03195;13,33;6,67;3,2;1,3;0,496;0,28
"162";17;0,131;0,165;8,33;1,666;0,145785587;13,5;0,4797;0,2706;0,01487;0,027925;NA;NA;NA;NA;NA;NA
"163";17;0,131;0,165;8,33;2,499;0,131143366;13,5;0,4445;0,2474;0,017783;0,0227625;NA;NA;NA;NA;NA;NA
"164";17;0,131;0,165;8,33;3,332;0,087853323;9,5;0,2736;0,2273;0,010835;0,02495;NA;NA;NA;NA;NA;NA
"165";17;0,131;0,165;8,33;4,165;0,073211103;5;0,1283;0,0721;0,006275;0,018725;NA;NA;NA;NA;NA;NA
"166";17;0,131;0,165;8,33;4,998;0,061751974;4;0,1094;0,0621;0,004305;0,023025;NA;NA;NA;NA;NA;NA
"167";17;0,131;0,165;8,33;5,831;0,054430863;3;0,0589;0,0322;0,002946;0,0186125;NA;NA;NA;NA;NA;NA
"168";17;0,131;0,165;8,33;6,664;0,032467532;1,5;0,0405;0,0228;0,00169;0,020675;NA;NA;NA;NA;NA;NA
"169";17;0,131;0,165;8,33;7,497;0,01846193;1;0,019;0,0113;0,00094;0,0192375;NA;NA;NA;NA;NA;NA
"170";17;0,131;0,165;8,33;8,33;0,007002801;0,156;0,0066;0,0033;0,00035;0,0187375;NA;NA;NA;NA;NA;NA
"171";18;0,177;0,238;10,75;1,075;0,183027757;31;0,8953;0,35731;0,030415;0,0243125;28,62;14,31;3,1;1,6;0,512;0,15
"172";18;0,177;0,238;10,75;2,15;0,154698243;39;0,637;0,25971;0,025033;0,0237125;NA;NA;NA;NA;NA;NA
"173";18;0,177;0,238;10,75;3,225;0,128915202;18,5;0,4485;0,18283;0,017383;0,0219375;NA;NA;NA;NA;NA;NA
"174";18;0,177;0,238;10,75;4,3;0,116182837;18;0,3284;0,137;0,012785;0,0233375;NA;NA;NA;NA;NA;NA
"175";18;0,177;0,238;10,75;5,375;0,096129361;16;0,3061;0,1273;0,011835;0,0235;NA;NA;NA;NA;NA;NA
"176";18;0,177;0,238;10,75;6,45;0,080850522;8;0,2493;0,1081;0,006913;0,031675;NA;NA;NA;NA;NA;NA
"177";18;0,177;0,238;10,75;7,525;0,073211103;5,5;0,1;0,0432;0,004683;0,0191125;NA;NA;NA;NA;NA;NA
"178";18;0,177;0,238;10,75;8,6;0,056022409;5;0,1075;0,0418;0,0045;0,0225375;NA;NA;NA;NA;NA;NA
"179";18;0,177;0,238;10,75;9,675;0,030557678;2;0,0505;0,0193;0,002205;0,019275;NA;NA;NA;NA;NA;NA
"180";18;0,177;0,238;10,75;10,75;0,008785332;0,1096;0,011;0,0047;0,00044;0,0263;NA;NA;NA;NA;NA;NA
"181";19;0,198;0,237;10,93;1,093;0,208492488;47;1,244;0,60661;0,039745;0,0281375;39,38;19,69;2,9;1,7;0,536;0,17
"182";19;0,198;0,237;10,93;2,186;0,198624905;38;0,961;0,4769;0,03285;0,0258625;NA;NA;NA;NA;NA;NA
"183";19;0,198;0,237;10,93;3,279;0,20753756;35;0,761;0,38878;0,029345;0,0226875;NA;NA;NA;NA;NA;NA
"184";19;0,198;0,237;10,93;4,372;0,146103896;28;0,874;0,42237;0,03319;0,0238375;NA;NA;NA;NA;NA;NA
"185";19;0,198;0,237;10,93;5,465;0,137827858;17,5;0,4489;0,22292;0,01511;0,026175;NA;NA;NA;NA;NA;NA
"186";19;0,198;0,237;10,93;6,558;0,10026738;13;0,3119;0,158;0,01418;0,020575;NA;NA;NA;NA;NA;NA
"187";19;0,198;0,237;10,93;7,651;0,093582888;9;0,1646;0,0798;0,007686;0,019525;NA;NA;NA;NA;NA;NA
"188";19;0,198;0,237;10,93;8,744;0,068118156;6;0,2753;0,143;0,00746;0,0345125;NA;NA;NA;NA;NA;NA
"189";19;0,198;0,237;10,93;9,837;0,035014006;3;0,0857;0,0411;0,00368;0,02265;NA;NA;NA;NA;NA;NA
"190";19;0,198;0,237;10,93;10,93;0,013368984;0,4068;0,0303;0,0155;0,00084;0,0319375;NA;NA;NA;NA;NA;NA
"191";20;0,123;0,177;6,44;0,644;0,140374332;11;0,4938;0,26809;0,01931;0,0265125;11,34;5,67;2,2;1,5;0,488;0,17
"192";20;0,123;0,177;6,44;1,288;0,126368729;9;0,2386;0,1372;0,014566;0,016825;NA;NA;NA;NA;NA;NA
"193";20;0,123;0,177;6,44;1,932;0,123503947;10;0,4992;0,2811;0,011775;0,042075;NA;NA;NA;NA;NA;NA
"194";20;0,123;0,177;6,44;2,576;0,135281385;8,5;0,1777;0,0999;0,010333;0,0174125;NA;NA;NA;NA;NA;NA
"195";20;0,123;0,177;6,44;3,22;0,098675834;6;0,2977;0,1619;0,01395;0,0193625;NA;NA;NA;NA;NA;NA
"196";20;0,123;0,177;6,44;3,864;0,096129361;4,5;0,111;0,059;0,006765;0,0170125;NA;NA;NA;NA;NA;NA
"197";20;0,123;0,177;6,44;4,508;0,058887191;5;0,1667;0,0861;0,00719;0,0248;NA;NA;NA;NA;NA;NA
"198";20;0,123;0,177;6,44;5,152;0,047746371;2;0,0529;0,0283;0,002383;0,02197375;NA;NA;NA;NA;NA;NA
"199";20;0,123;0,177;6,44;5,796;0,017188694;0,5861;0,0503;0,0282;0,001635;0,0297;NA;NA;NA;NA;NA;NA
"200";20;0,123;0,177;6,44;6,44;0,012796028;0,095;0,0018;9e-04;0,000163;0,012025;NA;NA;NA;NA;NA;NA
"201";21;0,231;0,277;11,45;1,145;0,236185383;54;1,615;0,91648;0,051315;0,02815;46,94;23,47;2,6;1,6;0,516;0,23
"202";21;0,231;0,277;11,45;2,29;0,233002292;53;1,158;0,67605;0,041315;0,0263125;NA;NA;NA;NA;NA;NA
"203";21;0,231;0,277;11,45;3,435;0,178253119;58;1,171;0,65557;0,03852;0,0269;NA;NA;NA;NA;NA;NA
"204";21;0,231;0,277;11,45;4,58;0,150560224;27;0,7978;0,45724;0,022353;0,0326125;NA;NA;NA;NA;NA;NA
"205";21;0,231;0,277;11,45;5,725;0,113318054;16;0,4143;0,22946;0,01683;0,0225375;NA;NA;NA;NA;NA;NA
"206";21;0,231;0,277;11,45;6,87;0,098994143;12;0,2563;0,1431;0,009276;0,0250125;NA;NA;NA;NA;NA;NA
"207";21;0,231;0,277;11,45;8,015;0,077667431;8;0,2231;0,124;0,007113;0,0283125;NA;NA;NA;NA;NA;NA
"208";21;0,231;0,277;11,45;9,16;0,041380188;5;0,152;0,0823;0,004203;0,0338875;NA;NA;NA;NA;NA;NA
"209";21;0,231;0,277;11,45;10,305;0,022918258;1,5;0,0326;0,0234;0,001115;0,027775;NA;NA;NA;NA;NA;NA
"210";21;0,231;0,277;11,45;11,45;0,008498854;0,2235;0,008;0,0069;0,000535;0,035525;NA;NA;NA;NA;NA;NA
"211";22;0,383;0,4795;17,81;1,781;0,379424497;243,5;5,982;3,4794;0,152176;0,0390875;177,5;88,75;2,2;1,5;0,547;0,26
"212";22;0,383;0,4795;17,81;3,562;0,460911637;236;4,07;2,3615;0,10805;0,034075;NA;NA;NA;NA;NA;NA
"213";22;0,383;0,4795;17,81;5,343;0,390247008;170,5;4,81;2,8237;0,147086;0,0333;NA;NA;NA;NA;NA;NA
"214";22;0,383;0,4795;17,81;7,124;0,190667176;93,5;4,033;2,36355;0,111285;0,032475;NA;NA;NA;NA;NA;NA
"215";22;0,383;0,4795;17,81;8,905;0,182391138;46;0,743;0,44329;0,025895;0,0250125;NA;NA;NA;NA;NA;NA
"216";22;0,383;0,4795;17,81;10,686;0,148968678;53,5;0,6613;0,39448;0,024995;0,0254375;NA;NA;NA;NA;NA;NA
"217";22;0,383;0,4795;17,81;12,467;0,123185638;23,5;0,365;0,2138;0,016355;0,020775;NA;NA;NA;NA;NA;NA
"218";22;0,383;0,4795;17,81;14,248;0,065571683;17,5;0,28;0,1558;0,012355;0,0218875;NA;NA;NA;NA;NA;NA
"219";22;0,383;0,4795;17,81;16,029;0,053794245;2;0,0687;0,0377;0,003056;0,0227375;NA;NA;NA;NA;NA;NA
"220";22;0,383;0,4795;17,81;17,81;0,008498854;1,5;0,0292;0,0158;0,00118;0,025216667;NA;NA;NA;NA;NA;NA
"221";23;0,146;0,216;11,05;1,105;0,156608098;24,5;0,6522;0,3907;0,024225;0,024025;20,54;10,27;2,1;1,6;0,52;0,27
"222";23;0,146;0,216;11,05;2,21;0,139419404;19,5;0,5096;0,29777;0,01752;0,026475;NA;NA;NA;NA;NA;NA
"223";23;0,146;0,216;11,05;3,315;0,13368984;17,5;0,4374;0,24663;0,013793;0,028325;NA;NA;NA;NA;NA;NA
"224";23;0,146;0,216;11,05;4,42;0,140692641;16;0,409;0,23508;0,01322;0,02865;NA;NA;NA;NA;NA;NA
"225";23;0,146;0,216;11,05;5,525;0,092309651;14;0,2949;0,17168;0,0163;0,0174125;NA;NA;NA;NA;NA;NA
"226";23;0,146;0,216;11,05;6,63;0,063343519;5;0,1161;0,0677;0,004746;0,0212375;NA;NA;NA;NA;NA;NA
"227";23;0,146;0,216;11,05;7,735;0,049337917;3;0,0715;0,0399;0,003223;0,0231;NA;NA;NA;NA;NA;NA
"228";23;0,146;0,216;11,05;8,84;0,035014006;2;0,0385;0,0196;0,00201;0,021375;NA;NA;NA;NA;NA;NA
"229";23;0,146;0,216;11,05;9,945;0,021326713;1;0,018;0,0099;0,000776;0,020825;NA;NA;NA;NA;NA;NA
"230";23;0,146;0,216;11,05;11,05;0,008740377;0,1911;0,0159;0,0085;0,000266;0,0413875;NA;NA;NA;NA;NA;NA
"231";24;0,2045;0,2405;13,2;1,32;0,211675579;51,5;1,422;0,85375;0,043205;0,02965;54,09;27,05;3,1;1,5;0,517;0,21
"232";24;0,2045;0,2405;13,2;2,64;0,202126305;48,5;0,9454;0,55324;0,034555;0,028075;NA;NA;NA;NA;NA;NA
"233";24;0,2045;0,2405;13,2;3,96;0,191622103;44;1,182;0,69564;0,031035;0,0356375;NA;NA;NA;NA;NA;NA
"234";24;0,2045;0,2405;13,2;5,28;0,177298192;38;0,9254;0,53454;0,027205;0,03065;NA;NA;NA;NA;NA;NA
"235";24;0,2045;0,2405;13,2;6,6;0,161701044;32,5;0,6814;0,39306;0,02315;0,0268;NA;NA;NA;NA;NA;NA
"236";24;0,2045;0,2405;13,2;7,92;0,136554622;24,5;0,4053;0,23806;0,02034;0,0173375;NA;NA;NA;NA;NA;NA
"237";24;0,2045;0,2405;13,2;9,24;0,094219506;17;0,54;0,114;0,012926;0,0365625;NA;NA;NA;NA;NA;NA
"238";24;0,2045;0,2405;13,2;10,56;0,061433664;10,5;0,1511;0,0849;0,006785;0,019525;NA;NA;NA;NA;NA;NA
"239";24;0,2045;0,2405;13,2;11,88;0,032149223;3,5;0,1315;0,07;0,00272;0,043075;NA;NA;NA;NA;NA;NA
"240";24;0,2045;0,2405;13,2;13,2;0,00785;0,465;0,0158;0,0058;0,00071;0,022;NA;NA;NA;NA;NA;NA
"241";25;0,1325;0,1795;9,31;0,931;0,141647568;18,5;0,67;0,30486;0,02106;0,03195;17,34;8,67;2,7;1,4;0,501;0,17
"242";25;0,1325;0,1795;9,31;1,862;0,133053221;14,5;0,4974;0,20116;0,01567;0,0300875;NA;NA;NA;NA;NA;NA
"243";25;0,1325;0,1795;9,31;2,793;0,12223071;13;0,416;0,1674;0,01339;0,0302375;NA;NA;NA;NA;NA;NA
"244";25;0,1325;0,1795;9,31;3,724;0,113954673;11,5;0,2573;0,10435;0,011375;0,0204875;NA;NA;NA;NA;NA;NA
"245";25;0,1325;0,1795;9,31;4,655;0,109816654;11;0,2394;0,0969;0,009985;0,0227125;NA;NA;NA;NA;NA;NA
"246";25;0,1325;0,1795;9,31;5,586;0,086580087;8;0,2635;0,1065;0,00905;0,026725;NA;NA;NA;NA;NA;NA
"247";25;0,1325;0,1795;9,31;6,517;0,061751974;5;0,1333;0,0559;0,005365;0,0227625;NA;NA;NA;NA;NA;NA
"248";25;0,1325;0,1795;9,31;7,448;0,057295646;3,5;0,0818;0,034;0,003015;0,025675;NA;NA;NA;NA;NA;NA
"249";25;0,1325;0,1795;9,31;8,379;0,02228164;1,5;0,0663;0,0279;0,00228;0,028225;NA;NA;NA;NA;NA;NA
"250";25;0,1325;0,1795;9,31;9,31;0,009230965;0,205;0,0057;0,0024;0,00037;0,0181875;NA;NA;NA;NA;NA;NA
"251";26;0,1365;0,1595;6,92;0,692;0,158517953;15;0,405;0,1889;0,01847;0,02055;15,74;7,87;2,3;1,8;0,526;0,21
"252";26;0,1365;0,1595;6,92;1,384;0,137827858;14;0,3862;0,17033;0,017025;0,0201875;NA;NA;NA;NA;NA;NA
"253";26;0,1365;0,1595;6,92;2,076;0,15215177;14;0,3548;0,15398;0,01416;0,023725;NA;NA;NA;NA;NA;NA
"254";26;0,1365;0,1595;6,92;2,768;0,178889738;13;0,4791;0,21689;0,01597;0,0274875;NA;NA;NA;NA;NA;NA
"255";26;0,1365;0,1595;6,92;3,46;0,1149096;9;0,2604;0,12153;0,01295;0,0190875;NA;NA;NA;NA;NA;NA
"256";26;0,1365;0,1595;6,92;4,152;0,108861727;5;0,2963;0,14742;0,01012;0,026025;NA;NA;NA;NA;NA;NA
"257";26;0,1365;0,1595;6,92;4,844;0,061083524;4;0,1294;0,0549;0,003865;0,0292625;NA;NA;NA;NA;NA;NA
"258";26;0,1365;0,1595;6,92;5,536;0,027056277;3;0,0756;0,0363;0,002785;0,0262625;NA;NA;NA;NA;NA;NA
"259";26;0,1365;0,1595;6,92;6,228;0,009549274;1,5;0,0457;0,0212;0,00213;0,0211125;NA;NA;NA;NA;NA;NA
"260";26;0,1365;0,1595;6,92;6,92;0,01044054;0,18;0,0125;0,0054;0,000475;0,0189625;NA;NA;NA;NA;NA;NA
"261";27;0,196;0,2055;11,58;1,158;0,199898141;41;0,9945;0,55271;0,031015;0,0265625;27,88;13,94;2,1;1,8;0,513;0,2
"262";27;0,196;0,2055;11,58;2,316;0,132098294;36;0,8208;0,45895;0,02767;0,0244375;NA;NA;NA;NA;NA;NA
"263";27;0,196;0,2055;11,58;3,474;0,131779985;17;0,3099;0,19938;0,01205;0,022575;NA;NA;NA;NA;NA;NA
"264";27;0,196;0,2055;11,58;4,632;0,116819455;14;0,3081;0,15496;0,012693;0,0218125;NA;NA;NA;NA;NA;NA
"265";27;0,196;0,2055;11,58;5,79;0,101222307;12;0,3074;0,0787;0,00944;0,0279;NA;NA;NA;NA;NA;NA
"266";27;0,196;0,2055;11,58;6,948;0,123185638;10,5;0,214;0,1036;0,00761;0,0257875;NA;NA;NA;NA;NA;NA
"267";27;0,196;0,2055;11,58;8,106;0,059842119;5;0,2086;0,1027;0,006365;0,0297;NA;NA;NA;NA;NA;NA
"268";27;0,196;0,2055;11,58;9,264;0,04074357;3;0,0649;0,0324;0,0028;0,0225625;NA;NA;NA;NA;NA;NA
"269";27;0,196;0,2055;11,58;10,422;0,020371785;0,766;0,0221;0,0116;0,001085;0,0192125;NA;NA;NA;NA;NA;NA
"270";27;0,196;0,2055;11,58;11,58;0,00535;0,122;0,0056;0,0031;0,00032;0,024275;NA;NA;NA;NA;NA;NA
"271";28;0,144;0,232;10,5;1,05;0,162337662;22;1,6999;0,9165;0,029355;0,0516875;19,26;9,63;2,9;1,2;0,549;0,28
"272";28;0,144;0,232;10,5;2,1;0,15597148;18,5;0,5445;0,31532;0,018935;0,0281125;NA;NA;NA;NA;NA;NA
"273";28;0,144;0,232;10,5;3,15;0,10026738;15;0,2471;0,13758;0,012963;0,0177125;NA;NA;NA;NA;NA;NA
"274";28;0,144;0,232;10,5;4,2;0,117137764;14,5;0,3771;0,20511;0,011115;0,0336625;NA;NA;NA;NA;NA;NA
"275";28;0,144;0,232;10,5;5,25;0,109180036;10;0,228;0,12737;0,00942;0,0233875;NA;NA;NA;NA;NA;NA
"276";28;0,144;0,232;10,5;6,3;0,081168831;9;0,2413;0,13364;0,008595;0,0270375;NA;NA;NA;NA;NA;NA
"277";28;0,144;0,232;10,5;7,35;0,049337917;4,5;0,105;0,0102;0,00425;0,0231375;NA;NA;NA;NA;NA;NA
"278";28;0,144;0,232;10,5;8,4;0,032467532;2;0,0524;0,0297;0,00187;0,0292;NA;NA;NA;NA;NA;NA
"279";28;0,144;0,232;10,5;9,45;0,017507003;0,6668;0,0098;0,0048;0,000765;0,01205;NA;NA;NA;NA;NA;NA
"280";28;0,144;0,232;10,5;10,5;0,007;0,1129;0,0027;0,0013;0,000245;0,011075;NA;NA;NA;NA;NA;NA
"281";29;0,1865;0,2175;11,49;1,149;0,179844665;31,5;0,825;0,40737;0,02857;0,02585;28,18;14,09;3,2;1,3;0,517;0,28
"282";29;0,1865;0,2175;11,49;2,298;0,134963076;30,5;0,6132;0,29373;0,023493;0,024025;NA;NA;NA;NA;NA;NA
"283";29;0,1865;0,2175;11,49;3,447;0,135281385;17;0,3357;0,1613;0,012865;0,0232125;NA;NA;NA;NA;NA;NA
"284";29;0,1865;0,2175;11,49;4,596;0,111726509;15;0,2184;0,10741;0,01289;0,0153125;NA;NA;NA;NA;NA;NA
"285";29;0,1865;0,2175;11,49;5,745;0,122867329;16;0,2677;0,12827;0,009585;0,0244;NA;NA;NA;NA;NA;NA
"286";29;0,1865;0,2175;11,49;6,894;0,106315253;12,5;0,3841;0,19106;0,01279;0,0302125;NA;NA;NA;NA;NA;NA
"287";29;0,1865;0,2175;11,49;8,043;0,075120957;9,5;0,2025;0,09681;0,008776;0,0217;NA;NA;NA;NA;NA;NA
"288";29;0,1865;0,2175;11,49;9,192;0,050611154;5,5;0,1132;0,0541;0,0047;0,024725;NA;NA;NA;NA;NA;NA
"289";29;0,1865;0,2175;11,49;10,341;0,034377387;3;0,0436;0,02;0,00205;0,0220375;NA;NA;NA;NA;NA;NA
"290";29;0,1865;0,2175;11,49;11,49;0,008498854;0,405;0,0309;0,013;0,00086;0,032325;NA;NA;NA;NA;NA;NA
"291";30;0,1275;0,1585;9,95;0,995;0,132098294;19;0,5294;0,27488;0,018126;0,0265375;16,17;8,08;3,1;1,4;0,489;0,25
"292";30;0,1275;0,1585;9,95;1,99;0,131779985;15;0,3306;0,17013;0,013035;0,0221375;NA;NA;NA;NA;NA;NA
"293";30;0,1275;0,1585;9,95;2,985;0,12223071;13;0,375;0,23611;0,01421;0,0245875;NA;NA;NA;NA;NA;NA
"294";30;0,1275;0,1585;9,95;3,98;0,093264579;11,5;0,3145;0,16124;0,01163;0,023475;NA;NA;NA;NA;NA;NA
"295";30;0,1275;0,1585;9,95;4,975;0,080850522;9;0,14;0,07091;0,006805;0,01825;NA;NA;NA;NA;NA;NA
"296";30;0,1275;0,1585;9,95;5,97;0,074802648;5,5;0,0975;0,051;0,004735;0,0185;NA;NA;NA;NA;NA;NA
"297";30;0,1275;0,1585;9,95;6,965;0,05188439;4,5;0,0981;0,0566;0,004165;0,020075;NA;NA;NA;NA;NA;NA
"298";30;0,1275;0,1585;9,95;7,96;0,042653425;2,5;0,0539;0,0177;0,002075;0,022925;NA;NA;NA;NA;NA;NA
"299";30;0,1275;0,1585;9,95;8,955;0,01846193;0,7318;0,0301;0,0123;0,001315;0,02195;NA;NA;NA;NA;NA;NA
"300";30;0,1275;0,1585;9,95;9,95;0,003533231;0,1062;0,0051;0,0027;0,00028;0,01965;NA;NA;NA;NA;NA;NA
"301";31;0,2675;0,3695;14,67;1,467;0,273427553;103,5;2,5619;1,45866;0,074215;0,0291875;84,2;42,1;2,2;1,2;0,528;0,18
"302";31;0,2675;0,3695;14,67;2,934;0,247007894;81;1,3176;1,03868;0,05176;0,0290625;NA;NA;NA;NA;NA;NA
"303";31;0,2675;0,3695;14,67;4,401;0,214858671;75;1,6218;0,97816;0,045793;0,0311;NA;NA;NA;NA;NA;NA
"304";31;0,2675;0,3695;14,67;5,868;0,199579832;61,5;1,0633;0,60827;0,034153;0,02625;NA;NA;NA;NA;NA;NA
"305";31;0,2675;0,3695;14,67;7,335;0,157563025;40,5;0,8324;0,50305;0,028795;0,02505;NA;NA;NA;NA;NA;NA
"306";31;0,2675;0,3695;14,67;8,802;0,117774382;28,5;0,4368;0,26189;0,017205;0,02215;NA;NA;NA;NA;NA;NA
"307";31;0,2675;0,3695;14,67;10,269;0,083715304;17;0,2978;0,17247;0,010015;0,0263125;NA;NA;NA;NA;NA;NA
"308";31;0,2675;0,3695;14,67;11,736;0,060797046;8,5;0,1424;0,0251;0,005435;0,0249875;NA;NA;NA;NA;NA;NA
"309";31;0,2675;0,3695;14,67;13,203;0,045518207;4;0,0962;0,0525;0,002655;0,03135;NA;NA;NA;NA;NA;NA
"310";31;0,2675;0,3695;14,67;14,67;0,01114082;1,5;0,0349;0,0191;0,001575;0,0214875;NA;NA;NA;NA;NA;NA
