"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"230";21;0,231;11,45;"10,305";0,023;1,5;"0,0326";"0,0202";"0,0234";"0,0097";0,001115;0,00037;0,027775;0,050075;NA;NA;NA;NA;NA;NA
"231";21;0,231;11,45;"11,450";0,008;0,22;"0,008";"0,004";"0,0069";"0,0014";0,000535;8e-05;0,035525;0,03625;NA;NA;NA;NA;NA;NA
"232";22;0,383;17,81;"0,000";0,48;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"233";22;0,383;17,81;"1,781";0,379;243,5;"5.982";"3,59";"34.794";"20.395";0,152176;0,106876;0,0390875;0,0317875;177,5;88,75;2,2;1,5;0,547;0,26
"234";22;0,383;17,81;"3,562";0,461;236;"4,07";"5.395";"23.615";"31.425";0,10805;0,144725;0,034075;0,0313625;NA;NA;NA;NA;NA;NA
"235";22;0,383;17,81;"5,343";0,39;170,5;"4,81";"4,48";"28.237";"26.318";0,147086;0,101625;0,0333;0,036725;NA;NA;NA;NA;NA;NA
"236";22;0,383;17,81;"7,124";0,191;93,5;"4.033";"0,867";"236.355";"0,51133";0,111285;0,02638;0,032475;0,0283125;NA;NA;NA;NA;NA;NA
"237";22;0,383;17,81;"8,905";0,182;46;"0,743";"0,7386";"0,44329";"0,42656";0,025895;0,02475;0,0250125;0,0276375;NA;NA;NA;NA;NA;NA
"238";22;0,383;17,81;"10,686";0,149;53,5;"0,6613";"1.449";"0,39448";"0,84195";0,024995;0,031376;0,0254375;0,0425625;NA;NA;NA;NA;NA;NA
"239";22;0,383;17,81;"12,467";0,123;23,5;"0,365";"0,2737";"0,2138";"0,1523";0,016355;0,01104;0,020775;0,024775;NA;NA;NA;NA;NA;NA
"240";22;0,383;17,81;"14,248";0,066;17,5;"0,28";"0,0547";"0,1558";"0,0308";0,012355;0,0027;0,0218875;0,0212625;NA;NA;NA;NA;NA;NA
"241";22;0,383;17,81;"16,029";0,054;2;"0,0687";"0,0383";"0,0377";"0,0163";0,003056;0,001735;0,0227375;0,0216625;NA;NA;NA;NA;NA;NA
"242";22;0,383;17,81;"17,810";0,008;1,5;"0,0292";"0,004";"0,0158";"0,0021";0,00118;7e-05;0,025216667;0,05705;NA;NA;NA;NA;NA;NA
"243";23;0,146;11,05;"0,000";0,216;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"244";23;0,146;11,05;"1,105";0,157;24,5;"0,6522";"0,4583";"0,3907";"0,27338";0,024225;0,017305;0,024025;0,024325;20,54;10,27;2,1;1,6;0,52;0,27
"245";23;0,146;11,05;"2,210";0,139;19,5;"0,5096";"0,3376";"0,29777";"0,19408";0,01752;0,014115;0,026475;0,0216125;NA;NA;NA;NA;NA;NA
"246";23;0,146;11,05;"3,315";0,134;17,5;"0,4374";"0,379";"0,24663";"0,22029";0,013793;0,012675;0,028325;0,027375;NA;NA;NA;NA;NA;NA
"247";23;0,146;11,05;"4,420";0,141;16;"0,409";"0,3931";"0,23508";"0,22746";0,01322;0,014203;0,02865;0,02525;NA;NA;NA;NA;NA;NA
"248";23;0,146;11,05;"5,525";0,092;14;"0,2949";"0,1796";"0,17168";"0,1032";0,0163;0,005505;0,0174125;0,0285625;NA;NA;NA;NA;NA;NA
"249";23;0,146;11,05;"6,630";0,063;5;"0,1161";"0,0621";"0,0677";"0,0347";0,004746;0,0029;0,0212375;0,0208125;NA;NA;NA;NA;NA;NA
"250";23;0,146;11,05;"7,735";0,049;3;"0,0715";"0,0303";"0,0399";"0,0159";0,003223;0,00163;0,0231;0,0179;NA;NA;NA;NA;NA;NA
"251";23;0,146;11,05;"8,840";0,035;2;"0,0385";"0,0494";"0,0196";"0,0267";0,00201;0,001745;0,021375;0,0264875;NA;NA;NA;NA;NA;NA
"252";23;0,146;11,05;"9,945";0,021;1;"0,018";"0,0271";"0,0099";"0,0115";0,000776;0,000315;0,020825;0,067975;NA;NA;NA;NA;NA;NA
"253";23;0,146;11,05;"11,050";0,009;0,19;"0,0159";"0,0016";"0,0085";"0,0009";0,000266;6e-05;0,0413875;0,03722;NA;NA;NA;NA;NA;NA
"254";24;0,2045;13,2;"0,000";0,241;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"255";24;0,2045;13,2;"1,320";0,212;51,5;"1.422";"1.233";"0,85375";"0,71051";0,043205;0,03442;0,02965;0,033175;54,09;27,05;3,1;1,5;0,517;0,21
"256";24;0,2045;13,2;"2,640";0,202;48,5;"0,9454";"10.817";"0,55324";"0,61001";0,034555;0,031055;0,028075;0,02875;NA;NA;NA;NA;NA;NA
"257";24;0,2045;13,2;"3,960";0,192;44;"1.182";"1,15";"0,69564";"0,65676";0,031035;0,02809;0,0356375;0,0362875;NA;NA;NA;NA;NA;NA
"258";24;0,2045;13,2;"5,280";0,177;38;"0,9254";"0,414";"0,53454";"0,23454";0,027205;0,023605;0,03065;0,0155;NA;NA;NA;NA;NA;NA
"259";24;0,2045;13,2;"6,600";0,162;32,5;"0,6814";"0,3991";"0,39306";"0,22387";0,02315;0,018735;0,0268;0,0180375;NA;NA;NA;NA;NA;NA
"260";24;0,2045;13,2;"7,920";0,137;24,5;"0,4053";"0,323";"0,23806";"0,17914";0,02034;0,01319;0,0173375;0,0217375;NA;NA;NA;NA;NA;NA
"261";24;0,2045;13,2;"9,240";0,094;17;"0,54";"0,2383";"0,114";"0,0303";0,012926;0,006875;0,0365625;0,034525;NA;NA;NA;NA;NA;NA
"262";24;0,2045;13,2;"10,560";0,061;10,5;"0,1511";"0,1633";"0,0849";"0,0176";0,006785;0,005135;0,019525;0,02505;NA;NA;NA;NA;NA;NA
"263";24;0,2045;13,2;"11,880";0,032;3,5;"0,1315";"0,0341";"0,07";"0,0189";0,00272;0,0012;0,043075;0,0281625;NA;NA;NA;NA;NA;NA
"264";24;0,2045;13,2;"13,200";0,008;0,47;"0,0158";"0,0029";"0,0058";"0,0013";0,00071;0,00013;0,022;0,0393;NA;NA;NA;NA;NA;NA
"265";25;0,1325;9,31;"0,000";0,18;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"266";25;0,1325;9,31;"0,931";0,142;18,5;"0,67";"0,5304";"0,30486";"0,21132";0,02106;0,015715;0,03195;0,0307625;17,34;8,67;2,7;1,4;0,501;0,17
"267";25;0,1325;9,31;"1,862";0,133;14,5;"0,4974";"0,5318";"0,20116";"0,21107";0,01567;0,012946;0,0300875;0,0374;NA;NA;NA;NA;NA;NA
"268";25;0,1325;9,31;"2,793";0,122;13;"0,416";"0,3569";"0,1674";"0,14288";0,01339;0,01146;0,0302375;0,0283875;NA;NA;NA;NA;NA;NA
"269";25;0,1325;9,31;"3,724";0,114;11,5;"0,2573";"0,1818";"0,10435";"0,0737";0,011375;0,010035;0,0204875;0,0171;NA;NA;NA;NA;NA;NA
"270";25;0,1325;9,31;"4,655";0,11;11;"0,2394";"0,2271";"0,0969";"0,091";0,009985;0,008945;0,0227125;0,0236375;NA;NA;NA;NA;NA;NA
"271";25;0,1325;9,31;"5,586";0,087;8;"0,2635";"0,1628";"0,1065";"0,0665";0,00905;0,005196;0,026725;0,0285375;NA;NA;NA;NA;NA;NA
"272";25;0,1325;9,31;"6,517";0,062;5;"0,1333";"0,0766";"0,0559";"0,0307";0,005365;0,002485;0,0227625;0,0279625;NA;NA;NA;NA;NA;NA
"273";25;0,1325;9,31;"7,448";0,057;3,5;"0,0818";"0,0573";"0,034";"0,0246";0,003015;0,00222;0,025675;0,0226;NA;NA;NA;NA;NA;NA
"274";25;0,1325;9,31;"8,379";0,022;1,5;"0,0663";"0,0196";"0,0279";"0,0076";0,00228;0,000475;0,028225;0,0505375;NA;NA;NA;NA;NA;NA
"275";25;0,1325;9,31;"9,310";0,009;0,21;"0,0057";"0,0031";"0,0024";"0,0013";0,00037;0,000105;0,0181875;0,026475;NA;NA;NA;NA;NA;NA
"276";26;0,1365;6,92;"0,000";0,16;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"277";26;0,1365;6,92;"0,692";0,159;15;"0,405";"0,5213";"0,1889";"0,23122";0,01847;0,01704;0,02055;0,02605;15,74;7,87;2,3;1,8;0,526;0,21
"278";26;0,1365;6,92;"1,384";0,138;14;"0,3862";"0,488";"0,17033";"0,21055";0,017025;0,014456;0,0201875;0,0297;NA;NA;NA;NA;NA;NA
"279";26;0,1365;6,92;"2,076";0,152;14;"0,3548";"0,5241";"0,15398";"0,23632";0,01416;0,01688;0,023725;0,0296;NA;NA;NA;NA;NA;NA
"280";26;0,1365;6,92;"2,768";0,179;13;"0,4791";"0,8363";"0,21689";"0,4168";0,01597;0,020905;0,0274875;0,034075;NA;NA;NA;NA;NA;NA
"281";26;0,1365;6,92;"3,460";0,115;9;"0,2604";"0,2638";"0,12153";"0,12894";0,01295;0,009025;0,0190875;0,024575;NA;NA;NA;NA;NA;NA
"282";26;0,1365;6,92;"4,152";0,109;5;"0,2963";"0,0895";"0,14742";"0,0578";0,01012;0,00396;0,026025;0,020575;NA;NA;NA;NA;NA;NA
"283";26;0,1365;6,92;"4,844";0,061;4;"0,1294";"0,0927";"0,0549";"0,0439";0,003865;0,00272;0,0292625;0,0324;NA;NA;NA;NA;NA;NA
"284";26;0,1365;6,92;"5,536";0,027;3;"0,0756";"0,0678";"0,0363";"0,0323";0,002785;0,002705;0,0262625;0,0228125;NA;NA;NA;NA;NA;NA
"285";26;0,1365;6,92;"6,228";0,01;1,5;"0,0457";"0,018";"0,0212";"0,0074";0,00213;0,000483;0,0211125;0,0281375;NA;NA;NA;NA;NA;NA
"286";26;0,1365;6,92;"6,920";0,01;0,18;"0,0125";"0,0024";"0,0054";"0,0008";0,000475;6,5e-05;0,0189625;0,03815;NA;NA;NA;NA;NA;NA
"287";27;0,196;11,58;"0,000";0,206;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"288";27;0,196;11,58;"1,158";0,2;41;"0,9945";"0,9518";"0,55271";"0,52731";0,031015;0,027856;0,0265625;0,0298;27,88;13,94;2,1;1,8;0,513;0,2
"289";27;0,196;11,58;"2,316";0,132;36;"0,8208";"0,3779";"0,45895";"0,19258";0,02767;0,012385;0,0244375;0,026575;NA;NA;NA;NA;NA;NA
"290";27;0,196;11,58;"3,474";0,132;17;"0,3099";"0,4012";"0,19938";"0,19985";0,01205;0,01197;0,022575;0,0284;NA;NA;NA;NA;NA;NA
"291";27;0,196;11,58;"4,632";0,117;14;"0,3081";"0,3213";"0,15496";"0,15635";0,012693;0,009106;0,0218125;0,0292625;NA;NA;NA;NA;NA;NA
"292";27;0,196;11,58;"5,790";0,101;12;"0,3074";"0,1513";"0,0787";"0,1009";0,00944;0,00757;0,0279;0,0184125;NA;NA;NA;NA;NA;NA
"293";27;0,196;11,58;"6,948";0,123;10,5;"0,214";"0,1839";"0,1036";"0,0931";0,00761;0,007195;0,0257875;0,0227;NA;NA;NA;NA;NA;NA
"294";27;0,196;11,58;"8,106";0,06;5;"0,2086";"0,0945";"0,1027";"0,0463";0,006365;0,002845;0,0297;0,0322875;NA;NA;NA;NA;NA;NA
"295";27;0,196;11,58;"9,264";0,041;3;"0,0649";"0,0227";"0,0324";"0,0101";0,0028;0,00131;0,0225625;0,01835;NA;NA;NA;NA;NA;NA
"296";27;0,196;11,58;"10,422";0,02;0,77;"0,0221";"0,0063";"0,0116";"0,0031";0,001085;0,000266;0,0192125;0,0265;NA;NA;NA;NA;NA;NA
"297";27;0,196;11,58;"11,580";0,005;0,12;"0,0056";"0,002";"0,0031";"0,0009";0,00032;7e-05;0,024275;0,0328;NA;NA;NA;NA;NA;NA
"298";28;0,144;10,5;"0,000";0,232;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"299";28;0,144;10,5;"1,050";0,162;22;"16.999";"0,684";"0,9165";"0,38401";0,029355;0,02043;0,0516875;0,0285625;19,26;9,63;2,9;1,2;0,549;0,28
"300";28;0,144;10,5;"2,100";0,156;18,5;"0,5445";"0,3754";"0,31532";"0,2164";0,018935;0,013215;0,0281125;0,0261875;NA;NA;NA;NA;NA;NA
"301";28;0,144;10,5;"3,150";0,1;15;"0,2471";"0,2669";"0,13758";"0,14549";0,012963;0,01095;0,0177125;0,023275;NA;NA;NA;NA;NA;NA
"302";28;0,144;10,5;"4,200";0,117;14,5;"0,3771";"0,2237";"0,20511";"0,12607";0,011115;0,009775;0,0336625;0,0220375;NA;NA;NA;NA;NA;NA
"303";28;0,144;10,5;"5,250";0,109;10;"0,228";"0,2932";"0,12737";"0,16283";0,00942;0,008005;0,0233875;0,0336875;NA;NA;NA;NA;NA;NA
"304";28;0,144;10,5;"6,300";0,081;9;"0,2413";"0,1107";"0,13364";"0,062";0,008595;0,0045;0,0270375;0,0242;NA;NA;NA;NA;NA;NA
"305";28;0,144;10,5;"7,350";0,049;4,5;"0,105";"0,065";"0,0102";"0,0376";0,00425;0,00227;0,0231375;0,0242375;NA;NA;NA;NA;NA;NA
"306";28;0,144;10,5;"8,400";0,032;2;"0,0524";"0,0244";"0,0297";"0,014";0,00187;0,000905;0,0292;0,021775;NA;NA;NA;NA;NA;NA
"307";28;0,144;10,5;"9,450";0,018;0,67;"0,0098";"0,0025";"0,0048";"0,001";0,000765;0,000233;0,01205;0,0107375;NA;NA;NA;NA;NA;NA
"308";28;0,144;10,5;"10,500";0,007;0,11;"0,0027";"0,001";"0,0013";"0,0004";0,000245;1e-05;0,011075;0,045966667;NA;NA;NA;NA;NA;NA
"309";29;0,1865;11,49;"0,000";0,218;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"310";29;0,1865;11,49;"1,149";0,18;31,5;"0,825";"0,6788";"0,40737";"0,3255";0,02857;0,023496;0,02585;0,0265625;28,18;14,09;3,2;1,3;0,517;0,28
"311";29;0,1865;11,49;"2,298";0,135;30,5;"0,6132";"0,3385";"0,29373";"0,1657";0,023493;0,013115;0,024025;0,0232875;NA;NA;NA;NA;NA;NA
"312";29;0,1865;11,49;"3,447";0,135;17;"0,3357";"0,4466";"0,1613";"0,21791";0,012865;0,012646;0,0232125;0,031925;NA;NA;NA;NA;NA;NA
"313";29;0,1865;11,49;"4,596";0,112;15;"0,2184";"0,2336";"0,10741";"0,11184";0,01289;0,009436;0,0153125;0,0209625;NA;NA;NA;NA;NA;NA
"314";29;0,1865;11,49;"5,745";0,123;16;"0,2677";"0,2379";"0,12827";"0,11331";0,009585;0,009893;0,0244;0,02255;NA;NA;NA;NA;NA;NA
"315";29;0,1865;11,49;"6,894";0,106;12,5;"0,3841";"0,1932";"0,19106";"0,092";0,01279;0,00949;0,0302125;0,0192625;NA;NA;NA;NA;NA;NA
"316";29;0,1865;11,49;"8,043";0,075;9,5;"0,2025";"0,116";"0,09681";"0,0542";0,008776;0,004345;0,0217;0,025875;NA;NA;NA;NA;NA;NA
"317";29;0,1865;11,49;"9,192";0,051;5,5;"0,1132";"0,0568";"0,0541";"0,0267";0,0047;0,002085;0,024725;0,0245125;NA;NA;NA;NA;NA;NA
"318";29;0,1865;11,49;"10,341";0,034;3;"0,0436";"0,0186";"0,02";"0,0076";0,00205;0,00082;0,0220375;0,0230375;NA;NA;NA;NA;NA;NA
"319";29;0,1865;11,49;"11,490";0,008;0,41;"0,0309";"0,0028";"0,013";"0,0008";0,00086;1e-04;0,032325;0,044975;NA;NA;NA;NA;NA;NA
"320";30;0,1275;9,95;"0,000";0,159;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"321";30;0,1275;9,95;"0,995";0,132;19;"0,5294";"0,2727";"0,27488";"0,13958";0,018126;0,013065;0,0265375;0,0180875;16,17;8,08;3,1;1,4;0,489;0,25
"322";30;0,1275;9,95;"1,990";0,132;15;"0,3306";"0,3014";"0,17013";"0,15802";0,013035;0,01287;0,0221375;0,019275;NA;NA;NA;NA;NA;NA
"323";30;0,1275;9,95;"2,985";0,122;13;"0,375";"0,2815";"0,23611";"0,14185";0,01421;0,01097;0,0245875;0,021975;NA;NA;NA;NA;NA;NA
"324";30;0,1275;9,95;"3,980";0,093;11,5;"0,3145";"0,1882";"0,16124";"0,0938";0,01163;0,00661;0,023475;0,025325;NA;NA;NA;NA;NA;NA
"325";30;0,1275;9,95;"4,975";0,081;9;"0,14";"0,118";"0,07091";"0,0616";0,006805;0,004925;0,01825;0,0205;NA;NA;NA;NA;NA;NA
"326";30;0,1275;9,95;"5,970";0,075;5,5;"0,0975";"0,1154";"0,051";"0,0579";0,004735;0,00468;0,0185;0,0235;NA;NA;NA;NA;NA;NA
"327";30;0,1275;9,95;"6,965";0,052;4,5;"0,0981";"0,0392";"0,0566";"0,0203";0,004165;0,002225;0,020075;0,0166625;NA;NA;NA;NA;NA;NA
"328";30;0,1275;9,95;"7,960";0,043;2,5;"0,0539";"0,0227";"0,0177";"0,0109";0,002075;0,001455;0,022925;0,014925;NA;NA;NA;NA;NA;NA
"329";30;0,1275;9,95;"8,955";0,018;0,73;"0,0301";"0,004";"0,0123";"0,002";0,001315;0,000325;0,02195;0,0136125;NA;NA;NA;NA;NA;NA
"330";30;0,1275;9,95;"9,950";0,004;0,11;"0,0051";"0,001";"0,0027";"0,0006";0,00028;1,5e-05;0,01965;0,008;NA;NA;NA;NA;NA;NA
"331";31;0,2675;14,67;"0,000";0,37;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"332";31;0,2675;14,67;"1,467";0,273;103,5;"25.619";"15.724";"145.866";"0,92903";0,074215;0,052435;0,0291875;0,0258875;84,2;42,1;2,2;1,2;0,528;0,18
"333";31;0,2675;14,67;"2,934";0,247;81;"13.176";"15.761";"103.868";"0,90531";0,05176;0,044723;0,0290625;0,030875;NA;NA;NA;NA;NA;NA
"334";31;0,2675;14,67;"4,401";0,215;75;"16.218";"10.811";"0,97816";"0,65249";0,045793;0,034595;0,0311;0,0272625;NA;NA;NA;NA;NA;NA
"335";31;0,2675;14,67;"5,868";0,2;61,5;"10.633";"0,8591";"0,60827";"0,52431";0,034153;0,029186;0,02625;0,02545;NA;NA;NA;NA;NA;NA
"336";31;0,2675;14,67;"7,335";0,158;40,5;"0,8324";"0,5256";"0,50305";"0,29621";0,028795;0,018145;0,02505;0,026075;NA;NA;NA;NA;NA;NA
"337";31;0,2675;14,67;"8,802";0,118;28,5;"0,4368";"0,2039";"0,26189";"0,12284";0,017205;0,009985;0,02215;0,0180375;NA;NA;NA;NA;NA;NA
"338";31;0,2675;14,67;"10,269";0,084;17;"0,2978";"0,1331";"0,17247";"0,0777";0,010015;0,00502;0,0263125;0,0246375;NA;NA;NA;NA;NA;NA
"339";31;0,2675;14,67;"11,736";0,061;8,5;"0,1424";"0,1178";"0,0251";"0,0655";0,005435;0,00539;0,0249875;0,0186;NA;NA;NA;NA;NA;NA
"340";31;0,2675;14,67;"13,203";0,046;4;"0,0962";"0,0429";"0,0525";"0,0076";0,002655;0,00154;0,03135;0,02555;NA;NA;NA;NA;NA;NA
"341";31;0,2675;14,67;"14,670";0,011;1,5;"0,0349";"0,0059";"0,0191";"0,0032";0,001575;1e-04;0,0214875;0,068075;NA;NA;NA;NA;NA;NA
